اسم المرض,التعريف,الانواع,الأعراض,الأسباب,طرق العلاج,الأدوية المرتبطة,طرق الوقاية,الاشخاص الاكثر عرضه
جفاف العين,نقص إنتاج الدموع أو تبخرها بسرعة,متلازمة جفاف العين- التهيج التحسسي,احمرار العين- الشعور بالحرقان- تشوش الرؤية,استخدام الشاشات لفترات طويلة- التدخين,قطرات ترطيب العين,تيرز ناتشورال- هايلو كومود,تقليل استخدام الشاشات- شرب الماء,مستخدمو الكمبيوتر لفترات طويلة
الأرق وصعوبات النوم,صعوبة في النوم أو الاستمرار فيه,حاد- مزمن,صعوبة النوم- الاستيقاظ المتكرر- التعب,التوتر- الكافيين- اضطرابات النوم,تقليل الكافيين- ضبط مواعيد النوم,ديفينهيدرامين- ميلاتونين,تجنب المنبهات- ضبط وقت النوم,الأشخاص الذين يعانون من القلق- العاملون بنوبات ليلية
التهاب الملتحمة (العين الوردية),التهاب في غشاء الملتحمة يؤدي إلى احمرار العين,فيروسي- بكتيري- تحسسي,احمرار العين- حكة- إفرازات,العدوى الفيروسية- الحساسية- البكتيريا,قطرات مرطبة- مضادات الهيستامين,قطرات تيرز ناتشورال- ليفوستين,تجنب لمس العين- غسل اليدين,الأطفال- مستخدمو العدسات اللاصقة
حرقة المعدة,إحساس بالحرقان في الصدر بسبب ارتجاع الحمض,خفيفة- مزمنة,حرقان في الصدر- طعم مر في الفم,تناول أطعمة دهنية- التدخين- الكافيين,مضادات الحموضة- تغيير نمط الحياة,جافيسكون- أوميبرازول,تجنب الأطعمة الدهنية- تناول وجبات صغيرة,الأشخاص الذين يعانون من ارتجاع المريء
دوالي الخصية,توسع الأوردة داخل كيس الصفن مما قد يؤثر على الخصوبة,خفيفة- متوسطة- شديدة,ألم في الخصية- تورم- ثقل في كيس الصفن,خلل في صمامات الأوردة,ارتداء داعم للخصيتين- الجراحة إذا لزم الأمر,لا يوجد أدوية OTC,تجنب الملابس الضيقة- الحفاظ على نشاط بدني صحي,الرجال في سن البلوغ والشباب
الحزام الناري,عدوى فيروسية تسبب طفحًا جلديًا مؤلمًا,موضعي- معمم,بثور مؤلمة- حكة- تنميل,فيروس جدري الماء (الهربس النطاقي),مضادات الفيروسات- مسكنات الألم,أسيتامينوفين- إيبوبروفين,أخذ لقاح جدري الماء- تجنب التوتر,كبار السن- ضعيفو المناعة
التهاب الحلق الفيروسي,التهاب في الحلق بسبب الفيروسات,حاد- مزمن,ألم في الحلق- صعوبة البلع- بحة الصوت,العدوى الفيروسية- التغيرات الموسمية,مسكنات الألم- الغرغرة بالماء الدافئ,أقراص الاستحلاب- سبراي الحلق,غسل اليدين- تجنب الأماكن المزدحمة,الأطفال- المصابون بحساسية موسمية
التواء الكاحل,إصابة في أربطة الكاحل نتيجة تحركه بطريقة خاطئة,خفيف- متوسط- شديد,ألم وتورم في الكاحل- صعوبة المشي,السقوط- المشي على سطح غير مستوٍ,الراحة- تطبيق الثلج- رفع القدم,مسكنات الألم مثل إيبوبروفين,ممارسة تمارين تقوية الكاحل- ارتداء حذاء مناسب,الرياضيون- الأشخاص الذين يمارسون أنشطة بدنية مكثفة
القمل,طفيليات صغيرة تصيب فروة الرأس,قمل الرأس- قمل الجسم- قمل العانة,حكة شديدة- رؤية القمل أو بيضه في الشعر,انتقال مباشر من شخص مصاب,استخدام شامبو مضاد للقمل- تمشيط الشعر بدقة,بيرميثرين- إيفرمكتين,غسل الملابس بالماء الساخن- تجنب مشاركة الأمشاط,الأطفال- طلاب المدارس
فطريات الأظافر,عدوى فطرية تصيب الأظافر مما يجعلها متغيرة اللون,سطحية- تحت الظفر,تغير لون الأظافر- تقصف- زيادة سماكة الظفر,الرطوبة- ضعف المناعة,مضادات الفطريات الموضعية,تيربينافين- كلوتريمازول,تجفيف القدمين جيدًا- استخدام الأحذية المفتوحة عند اللزوم,كبار السن- المصابون بداء السكري
متلازمة الأقدام الباردة,برودة دائمة في القدمين بسبب ضعف الدورة الدموية,دورية- مزمنة,برودة في الأطراف- تنميل- تغير لون الجلد,ضعف تدفق الدم- السكري- أمراض الأوعية الدموية,تدفئة القدمين- تحسين تدفق الدم,لا توجد أدوية OTC مباشرة,ارتداء جوارب دافئة- ممارسة الرياضة,مرضى السكري- المصابون بضعف الدورة الدموية
تقرحات الفراش,جروح تتكون بسبب الضغط المطول على الجلد,سطحية- عميقة,تقرحات في مناطق الضغط- تغير لون الجلد,الجلوس أو الاستلقاء لفترات طويلة,تغيير وضع الجسم بانتظام- العناية بالبشرة,كريمات الحماية- المطهرات الموضعية,تقليب المريض كل ساعتين- استخدام وسائد خاصة,كبار السن- المرضى طويلي الفراش
الذبحة الصدرية,ألم في الصدر نتيجة نقص تدفق الدم للقلب,مستقرة- غير مستقرة- متغيرة,ألم ضاغط في الصدر- ضيق تنفس- تعرق,تصلب الشرايين- ارتفاع ضغط الدم,موسعات الأوعية الدموية- تخفيف الضغط النفسي,نيتروجليسرين (وصفة طبية),ممارسة الرياضة- تقليل الكوليسترول,مرضى القلب- المدخنون
التهاب المثانة,التهاب في جدار المثانة يسبب ألماً أثناء التبول,بكتيري- غير بكتيري,حرقة أثناء التبول- تكرار الحاجة للتبول,عدوى بكتيرية- تهيج كيميائي,مضادات الالتهاب- شرب الماء بكثرة,فينازوبيريدين (مسكن بولي),النظافة الشخصية- شرب الماء,النساء- المصابون بالتهابات متكررة
تمزق العضلات,تلف في ألياف العضلة بسبب إجهاد زائد,خفيف- متوسط- شديد,ألم شديد- انتفاخ- ضعف في العضلة,الإفراط في التمارين- الحركات المفاجئة,الراحة- العلاج الطبيعي- مضادات الالتهاب,إيبوبروفين- كريمات موضعية,التحمية قبل التمارين- تجنب الإجهاد الزائد,الرياضيون- الأشخاص قليلو التمارين
التهاب البنكرياس,التهاب يصيب البنكرياس نتيجة نشاط إنزيماته,حاد- مزمن,ألم شديد في البطن- غثيان- قيء,تناول الكحول- ارتفاع الدهون الثلاثية,السوائل الوريدية- المسكنات- تعديل الغذاء,لا توجد أدوية OTC مباشرة,تقليل الدهون- تجنب الكحول,المصابون بأمراض الكبد- المدمنون على الكحول
الكدمات,نزيف تحت الجلد نتيجة ضربة أو إصابة,سطحية- عميقة,تغير لون الجلد- ألم موضعي,الصدمات- ضعف الأوعية الدموية,وضع الثلج- رفع المنطقة المصابة,جل الأرنكا- كريم الهيبارين,الحذر أثناء الأنشطة البدنية,الرياضيون- كبار السن
التهاب الحنجرة,التهاب في الأحبال الصوتية يسبب بحة الصوت,حاد- مزمن,بحة الصوت- التهاب الحلق- سعال جاف,الاستخدام المفرط للصوت- العدوى الفيروسية,الراحة الصوتية- البخار- المسكنات,أقراص الاستحلاب- سبراي الحلق,تجنب الصراخ- شرب الماء بكثرة,المعلمون- المغنون- المدخنون
حمو النيل (الطفح الحراري),تهيج جلدي بسبب التعرق المفرط,حطاطي- بلوري- عميق,حكة- احمرار- بثور صغيرة,التعرض للحرارة- الملابس الضيقة,ترطيب الجلد- تبريد الجسم,بودرة التلك- كريمات التبريد,ارتداء ملابس قطنية- تهوية الجسم,الأطفال- الأشخاص في الطقس الحار
الرؤوس السوداء,انسداد مسام البشرة بخلايا الجلد الميتة والزيوت,مفتوحة- مغلقة,نقاط سوداء على الأنف والجبهة,إنتاج زائد للدهون- عدم تنظيف البشرة,تنظيف البشرة- التقشير الكيميائي,حمض الساليسيليك- البنزويل بيروكسيد,تنظيف الوجه بانتظام- تجنب الزيوت,المراهقون- أصحاب البشرة الدهنية
الإكزيما الدهنية,اضطراب جلدي يسبب احمرارًا وتقشرًا,فروة الرأس- الوجه- الجسم,قشرة دهنية- حكة- احمرار,فطريات الجلد- التوتر- عوامل وراثية,شامبوهات مضادة للفطريات- كريمات مرطبة,كيتوكونازول- زنك بيريثيون,تقليل التوتر- استخدام مرطبات البشرة,أصحاب البشرة الدهنية- مرضى التوتر المزمن
التهاب الأوتار,التهاب يصيب الأوتار العضلية بسبب الإجهاد المتكرر,الكتف- الركبة- المعصم,ألم عند الحركة- تيبس المفصل,الحركات المتكررة- قلة التمدد العضلي,العلاج الطبيعي- مضادات الالتهاب,إيبوبروفين جل- كريم ديكلوفيناك,تمارين التمدد- تجنب الحركات المتكررة,الرياضيون- العمال اليدويون
النزيف الأنفي,فقدان الدم من الأوعية الدموية داخل الأنف,أمامي- خلفي,نزيف مفاجئ- صعوبة في إيقاف النزيف,جفاف الأنف- ارتفاع ضغط الدم,وضع الرأس للأمام- الضغط على الأنف,بخاخ ترطيب الأنف,تجنب العبث بالأنف- الحفاظ على ترطيب الجو,الأطفال- مرضى ارتفاع الضغط
متلازمة النفق الرسغي,ضغط على العصب الوسطي في المعصم بسبب تكرار الحركات,خفيف- متوسط- شديد,تنميل- ألم في اليد- ضعف في القبضة,استخدام اليد المفرط- التهابات المفاصل,الجبائر- تمارين اليد- جراحة إذا لزم الأمر,فيتامين B6- مسكنات موضعية,استخدام وضعيات صحيحة- تقليل الضغط على اليد,مستخدمو الكمبيوتر لفترات طويلة
الكلف,تصبغات جلدية زائدة بسبب اضطراب صبغي,سطحي- عميق,بقع داكنة على الوجه- تفاوت لون البشرة,التعرض للشمس- الحمل- العوامل الوراثية,كريمات تفتيح البشرة- التقشير الكيميائي,الهيدروكينون- فيتامين C,استخدام واقي الشمس- تجنب التعرض للشمس,النساء الحوامل- أصحاب البشرة الداكنة
ضعف النظر الليلي,صعوبة في الرؤية في الإضاءة المنخفضة,وراثي- مكتسب,صعوبة التكيف مع الظلام- ضعف رؤية الألوان,نقص فيتامين A- أمراض الشبكية,مكملات فيتامين A- تحسين الإضاءة,فيتامين A- مكملات غذائية,تناول الأطعمة الغنية بفيتامين A,مرضى العيون- كبار السن
التهاب الأعصاب الطرفية,تلف في الأعصاب خارج الدماغ والحبل الشوكي,حسي- حركي- مختلط,تنميل- فقدان الإحساس- ضعف العضلات,السكري- نقص الفيتامينات- إصابات الأعصاب,مكملات فيتامين B12- العلاج الطبيعي,فيتامين B12- فيتامين B6,التحكم في مرض السكري- تناول غذاء متوازن,مرضى السكري- كبار السن
الشقيقة البطنية,نوع نادر من الصداع النصفي يؤثر على الجهاز الهضمي,مع هالة- بدون هالة,ألم بطني- غثيان- فقدان شهية,العوامل الوراثية- التوتر- تغيرات هرمونية,أدوية مضادة للصداع النصفي- تقليل التوتر,أملوديبين- باراسيتامول,تجنب المحفزات- النوم المنتظم,الأطفال- المراهقون
التهاب الشعب الهوائية,التهاب في الممرات الهوائية للرئة,حاد- مزمن,سعال مستمر- ضيق تنفس- بلغم,التدخين- العدوى الفيروسية- الملوثات,موسعات الشعب- مضادات الالتهاب,سالبيوتامول- برومهيكسين,تجنب التدخين- استخدام كمامات الهواء,المدخنون- المصابون بالحساسية
اليرقان,اصفرار الجلد والعينين بسبب زيادة البيليروبين,فسيولوجي- مرضي,اصفرار الجلد- بول داكن- تعب عام,أمراض الكبد- انسداد القنوات الصفراوية,علاج السبب الرئيسي- السوائل الوريدية,لا يوجد علاج OTC مباشر,تجنب الكحول- تطعيم التهاب الكبد,حديثو الولادة- المصابون بأمراض الكبد
الذئبة الحمراء,مرض مناعي ذاتي يهاجم الأنسجة السليمة,جهازية- جلدية- دوائية,طفح جلدي- تعب- آلام مفاصل,اضطراب في المناعة الذاتية,أدوية مثبطة للمناعة- مضادات الالتهاب,هيدروكسي كلوروكوين- كورتيكوستيرويدات,تجنب التعرض للشمس- تقليل التوتر,النساء- المصابون بأمراض مناعية
حمى البحر الأبيض المتوسط,اضطراب وراثي يسبب نوبات التهابية متكررة,خفيفة- شديدة,حمى متكررة- آلام في البطن والمفاصل,طفرة جينية تؤثر على الاستجابة المناعية,مضادات الالتهاب- الكولشيسين,كولشيسين- إيبوبروفين,الالتزام بالعلاج الوقائي- تجنب المحفزات,الأشخاص من أصول البحر الأبيض المتوسط
التهاب الكبد الفيروسي,عدوى فيروسية تصيب الكبد,A- B- C- D- E,غثيان- إرهاق- اصفرار الجلد,انتقال الفيروس عبر الدم أو الطعام الملوث,مضادات الفيروسات- الراحة- السوائل,إنترفيرون- لاميفودين,التطعيم- تجنب مشاركة الأدوات الشخصية,متعاطو المخدرات- المصابون بأمراض مناعية
تضخم البروستاتا الحميد,تضخم غير سرطاني في غدة البروستاتا,بسيط- متوسط- شديد,صعوبة التبول- تقطع البول- كثرة التبول الليلي,التقدم في العمر- التغيرات الهرمونية,أدوية مرخية للعضلات- جراحة في الحالات الشديدة,تامسولوسين- فيناسترايد,شرب الماء بانتظام- تجنب الكافيين,الرجال فوق سن 50
التهاب الكلية الحاد,التهاب مفاجئ في الكلى يؤثر على وظيفتها,بكتيري- مناعي,تورم الوجه- ارتفاع ضغط الدم- دم في البول,عدوى بكتيرية- أمراض مناعية,المضادات الحيوية- مدرات البول- الراحة,فوسفوميسين- أموكسيسيلين,شرب الماء- السيطرة على ضغط الدم,المصابون بأمراض الكلى المزمنة
تمزق الأربطة,إصابة تحدث عند تمدد الأربطة بشكل مفرط,خفيف- متوسط- شديد,ألم حاد- انتفاخ- عدم استقرار المفصل,الحركات المفاجئة- الحوادث الرياضية,الراحة- التثبيت- العلاج الطبيعي,كريم ديكلوفيناك- إيبوبروفين,تمارين الإحماء- تجنب الحركات العنيفة,الرياضيون- كبار السن
النكاف,عدوى فيروسية تصيب الغدد اللعابية,أحادي- ثنائي,تورم في الغدد اللعابية- حمى- صداع,فيروس النكاف- العدوى التنفسية,مسكنات الألم- الراحة- السوائل,باراسيتامول- إيبوبروفين,التطعيم- تجنب ملامسة المصابين,الأطفال غير المطعمين
الملاريا,عدوى طفيلية تنتقل عن طريق البعوض,حميدة- خبيثة,حمى مرتفعة- قشعريرة- تعرق,لسعات البعوض المصاب بطفيليات البلازموديوم,الأدوية المضادة للملاريا,كلوروكوين- أرتيميسينين,استخدام الناموسيات- مكافحة البعوض,سكان المناطق الاستوائية
الحصبة,مرض فيروسي شديد العدوى يصيب الجهاز التنفسي,تقليدية- مضاعفة,طفح جلدي- حمى- سعال,فيروس الحصبة- انتقال عبر الرذاذ,الراحة- السوائل- خافضات الحرارة,باراسيتامول- فيتامين أ,التطعيم- تجنب المصابين,الأطفال غير المطعمين
التهاب الأذن الداخلية,التهاب يسبب مشاكل في التوازن والسمع,بكتيري- فيروسي,دوخة- فقدان التوازن- طنين الأذن,العدوى الفيروسية- التهابات الجهاز التنفسي,أدوية مضادة للدوخة- مضادات الالتهاب,ميكليزين- بيتاهيستين,تجنب نزلات البرد- العناية بالأذن,كبار السن- مرضى التهابات الأذن المزمنة
التهاب الأوعية الدموية,التهاب في جدران الأوعية الدموية يؤثر على تدفق الدم,موضعي- جهازي,حمى- فقدان وزن- ضعف العضلات,اضطراب مناعي- عدوى بكتيرية أو فيروسية,مضادات الالتهاب- مثبطات المناعة,بريدنيزون- سيكلوفوسفاميد,متابعة الفحوصات الدورية- التحكم في ضغط الدم,مرضى المناعة الذاتية
النزيف المعوي,نزيف يحدث في الجهاز الهضمي,علوي- سفلي,براز أسود- قيء دموي- ضعف عام,قرحة المعدة- تمزق الأوعية الدموية,علاج السبب- نقل الدم عند الضرورة,مثبطات مضخة البروتون- حقن الإبينفرين,تجنب التدخين- تقليل تناول المسكنات,مرضى الجهاز الهضمي
متلازمة داون,اضطراب جيني ناتج عن وجود كروموسوم إضافي,بسيطة- معقدة,تأخر في النمو- ضعف العضلات- ملامح وجه مميزة,خلل جيني أثناء انقسام الخلايا,علاج داعم- تحسين جودة الحياة,لا يوجد أدوية مباشرة,الفحوصات الجينية أثناء الحمل,الأطفال حديثو الولادة المصابون
الروماتويد المفصلي,اضطراب مناعي يسبب التهاب المفاصل المزمن,نشط- خامد,تيبس المفاصل- ألم متكرر- انتفاخ,اضطراب مناعي ذاتي,أدوية مضادة للروماتيزم- مسكنات,ميثوتريكسات- إيبوبروفين,النشاط البدني المنتظم- تجنب التدخين,النساء- الأشخاص الذين لديهم تاريخ وراثي
تصلب الشرايين,تراكم الدهون في جدران الشرايين مما يؤدي لتضيقها,مبكر- متقدم,ألم في الصدر- ضيق تنفس- ضعف في الأطراف,ارتفاع الكوليسترول- التدخين- السمنة,أدوية خفض الكوليسترول- تغيير نمط الحياة,أتورفاستاتين- أسبرين,تقليل الدهون المشبعة- ممارسة الرياضة,مرضى السكري- المدخنون
التهاب الفقرات التصلبي,التهاب مزمن يصيب العمود الفقري,حاد- مزمن,تيبس الظهر- ألم في المفاصل- تعب عام,اضطراب مناعي ذاتي,العلاج الطبيعي- مضادات الالتهاب,إندوميثاسين- سلفاسالازين,تحسين وضعية الجلوس- ممارسة الرياضة,الرجال في سن الشباب
التهاب المريء,التهاب يصيب بطانة المريء نتيجة الارتجاع أو العدوى,ارتجاعي- دوائي- تحسسي,صعوبة البلع- حرقة في الصدر- قيء,ارتجاع حمضي- تناول أدوية مهيجة,مثبطات الأحماض- تجنب الأطعمة الحمضية,أوميبرازول- رانيتيدين,تجنب الكافيين- تناول وجبات خفيفة,مرضى ارتجاع المريء
التهاب البروستاتا,التهاب يصيب غدة البروستاتا نتيجة عدوى أو عوامل أخرى,حاد- مزمن,ألم في الحوض- صعوبة التبول- حمى,عدوى بكتيرية- اضطرابات هرمونية,المضادات الحيوية- مسكنات الألم,سيبروفلوكساسين- إيبوبروفين,شرب الماء بكثرة- ممارسة الرياضة,الرجال فوق سن 40
فقر الدم المنجلي,اضطراب وراثي يسبب تشوهًا في شكل خلايا الدم الحمراء,بسيط- شديد,إرهاق- ألم مفاصل- تورم اليدين,خلل جيني في الهيموغلوبين,مسكنات الألم- نقل الدم,هيدروكسي يوريا- مكملات حمض الفوليك,تجنب الإجهاد- شرب السوائل,الأشخاص ذوو التاريخ العائلي للمرض
التسمم بالرصاص,تراكم الرصاص في الجسم مما يسبب أضرارًا صحية,حاد- مزمن,ضعف التركيز- آلام البطن- أنيميا,التعرض للرصاص في المياه أو الدهانات,مضادات السموم- علاج الأعراض,دايميركابرول- كالسيوم EDTA,تجنب التعرض للرصاص- فحص مصادر المياه,الأطفال- العمال في الصناعات الكيميائية
تكيس المبايض,اضطراب هرموني يسبب نمو تكيسات في المبيض,بسيط- معقد,عدم انتظام الدورة- زيادة الوزن- حب الشباب,مقاومة الأنسولين- خلل هرموني,أدوية تنظيم الهرمونات- تحسين نمط الحياة,ميتفورمين- حبوب منع الحمل,ممارسة الرياضة- تجنب الأطعمة السكرية,النساء في سن الإنجاب
القدم الرياضي,عدوى فطرية تصيب القدمين نتيجة الرطوبة,سطحية- عميقة,حكة- تقشر الجلد- تشقق بين الأصابع,التعرق الزائد- ارتداء أحذية مغلقة لفترة طويلة,كريمات مضادة للفطريات- الحفاظ على جفاف القدم,كلوتريمازول- تيربينافين,ارتداء جوارب قطنية- تجفيف القدم جيدًا,الرياضيون- الأشخاص الذين يستخدمون حمامات عامة
هبوط السكر في الدم,انخفاض غير طبيعي في مستوى السكر في الدم,خفيف- متوسط- حاد,تعرق- دوخة- رعشة- فقدان وعي,تناول أدوية السكري- الصيام الطويل,تناول الجلوكوز- أدوية ترفع السكر,أقراص الجلوكوز- محاليل السكر,تناول وجبات منتظمة- تجنب الصيام الطويل,مرضى السكري- الأشخاص الذين يتبعون حميات صارمة
انفصال الشبكية,اضطراب بصري خطير يحدث عند ابتعاد الشبكية عن موضعها الطبيعي,جزئي- كلي,فقدان مفاجئ للرؤية- رؤية ومضات ضوئية,إصابات العين- ارتفاع ضغط العين,الجراحة- حقن الهواء داخل العين,لا يوجد أدوية OTC مباشرة,الفحص الدوري للعين- تجنب التعرض للضربات,كبار السن- مرضى السكري
التهاب المعدة الحاد,التهاب مفاجئ في بطانة المعدة,فيروسي- بكتيري- دوائي,ألم المعدة- غثيان- قيء,العدوى- تناول المسكنات بكثرة,مضادات الحموضة- تجنب الأطعمة المهيجة,أوميبرازول- رانيتيدين,تجنب الأدوية المهيجة- تقليل الكحول,الأشخاص الذين يتناولون المسكنات بكثرة
أمراض اللثة,التهابات تصيب اللثة نتيجة تراكم الجير والبكتيريا,التهاب بسيط- التهاب متقدم,نزيف اللثة- رائحة فم كريهة- ألم,التدخين- سوء العناية بالفم,تنظيف الأسنان- استخدام غسول الفم,كلورهكسيدين- مسكنات موضعية,تنظيف الأسنان مرتين يوميًا- زيارة الطبيب,المدخنون- الأشخاص الذين يهملون نظافة الفم
الذبحة الصدرية,ألم في الصدر نتيجة نقص تدفق الدم للقلب,مستقرة- غير مستقرة,ألم ضاغط في الصدر- ضيق تنفس- تعرق,تصلب الشرايين- ارتفاع ضغط الدم,موسعات الأوعية الدموية- تخفيف الضغط النفسي,نيتروجليسرين- أسبرين,ممارسة الرياضة- تقليل الكوليسترول,مرضى القلب- المدخنون
تضخم القلب,زيادة غير طبيعية في حجم القلب بسبب الإجهاد,بسيط- معقد,إرهاق- تورم الساقين- ضيق التنفس,ارتفاع ضغط الدم- أمراض الصمامات,أدوية مدرة للبول- موسعات الأوعية الدموية,فوروسيميد- إنالابريل,مراقبة ضغط الدم- تناول غذاء صحي,مرضى ارتفاع ضغط الدم- المصابون بأمراض القلب
عرق النسا,التهاب أو ضغط على العصب الوركي يسبب ألمًا يمتد من الظهر إلى الساق,حاد- مزمن,ألم في أسفل الظهر يمتد إلى الساق- تنميل,انزلاق غضروفي- ضيق في العمود الفقري,العلاج الطبيعي- المسكنات- تمارين التمدد,إيبوبروفين- ديكلوفيناك,تجنب الجلوس لفترات طويلة- ممارسة التمارين,كبار السن- الأشخاص الذين يجلسون لفترات طويلة
خلع الكتف,خروج رأس عظمة العضد من تجويف الكتف,أمامي- خلفي- سفلي,ألم شديد- تورم- عدم القدرة على تحريك الذراع,الإصابات الرياضية- السقوط- الحوادث,تثبيت الكتف- العلاج الطبيعي- جراحة في الحالات المتقدمة,مسكنات الألم- جل مضاد للالتهاب,تقوية عضلات الكتف- تجنب الحركات العنيفة,الرياضيون- كبار السن
قرحة الفراش,تقرحات جلدية تحدث بسبب الضغط الطويل على الجلد,سطحية- عميقة,احمرار- تقشر الجلد- جروح مؤلمة,الجلوس أو الاستلقاء لفترات طويلة,تغيير وضع الجسم بانتظام- العناية بالبشرة,كريمات الحماية- المطهرات الموضعية,تقليب المريض بانتظام- استخدام وسائد داعمة,المرضى طويلي الفراش- كبار السن
التهاب المثانة الخلالي,التهاب مزمن في المثانة يسبب تهيجًا مستمرًا,خفيف- شديد,ألم في الحوض- كثرة التبول- انزعاج أثناء الجماع,مجهول السبب- اضطرابات عصبية,أدوية مرخية للعضلات- تغييرات غذائية,بنتوسان بوليسلفات- مضادات الالتهاب,تجنب الكافيين- تقليل التوتر,النساء أكثر عرضة- الأشخاص المصابون بأمراض المثانة
قصور الغدة الدرقية,انخفاض إنتاج هرمونات الغدة الدرقية مما يسبب بطء العمليات الأيضية,أولي- ثانوي- خلقي,تعب- زيادة الوزن- جفاف البشرة- تساقط الشعر,أمراض المناعة الذاتية- نقص اليود,العلاج الهرموني التعويضي- تحسين نمط الحياة,ليفوثيروكسين,تناول غذاء غني باليود- متابعة فحوصات الغدة,النساء- كبار السن
فرط الغدة الدرقية,زيادة إنتاج هرمونات الغدة الدرقية مما يسبب تسارع العمليات الأيضية,جريفز- العقيدات الدرقية- التسمم الدرقي,فقدان الوزن- رعشة اليدين- خفقان القلب,اضطراب مناعي- زيادة اليود في الغذاء,أدوية مضادة للغدة- جراحة في بعض الحالات,ميثيمازول- بروبيل ثيوراسيل,تقليل الكافيين- تجنب مكملات اليود,النساء- المصابون بأمراض المناعة
حصوات الكلى,تجمع معادن وأملاح داخل الكلى مكونة حصوات صلبة,أوكسالات الكالسيوم- حمض اليوريك- السيستين,ألم شديد في الجانب والظهر- دم في البول- غثيان,قلة شرب الماء- زيادة الكالسيوم في البول,شرب الماء بكثرة- أدوية مذيبة للحصوات- الجراحة,ألفا بلوكرز- مسكنات الألم,شرب الماء الكافي- تقليل الملح والبروتين,الرجال- الأشخاص الذين يتناولون أطعمة غنية بالأملاح
التهاب العصب السابع,شلل مؤقت في عضلات الوجه بسبب التهاب العصب الوجهي,حاد- مزمن,ضعف عضلات الوجه- تدلي الجفن- صعوبة إغلاق العين,العدوى الفيروسية- الضغط على العصب,العلاج الطبيعي- مضادات الفيروسات- الكورتيزون,بريدنيزون- أسيكلوفير,تجنب التعرض المفاجئ للبرد- تقوية المناعة,الأشخاص الذين يعانون من ضعف المناعة
متلازمة النفق الرسغي,ضغط على العصب الوسطي في المعصم يسبب تنميلًا وضعفًا في اليد,خفيف- متوسط- شديد,خدر في الأصابع- ألم في المعصم- ضعف قبضة اليد,الحركات المتكررة- التهابات المفاصل,ارتداء الجبائر- تمارين اليد- الجراحة في الحالات المتقدمة,فيتامين B6- ديكلوفيناك جل,تجنب الحركات المتكررة- استخدام أدوات مريحة,مستخدمو الكمبيوتر لفترات طويلة
الرباط الصليبي الأمامي المقطوع,إصابة خطيرة في الركبة تسبب عدم استقرار المفصل,جزئي- كلي,ألم حاد- تورم في الركبة- عدم القدرة على المشي,الحركات المفاجئة- الإصابات الرياضية,العلاج الطبيعي- الجراحة- التمارين التأهيلية,مسكنات الألم- جل مضاد للالتهاب,تمارين تقوية الركبة- تجنب الحركات العنيفة,الرياضيون- الأشخاص الذين يمارسون الأنشطة البدنية المكثفة
الحمى الروماتيزمية,مرض مناعي يحدث بعد التهاب الحلق البكتيري,بسيطة- شديدة,آلام المفاصل- حمى- طفح جلدي,عدوى بكتيرية بالمكورات العقدية,مضادات الالتهاب- المضادات الحيوية,بنسيلين- أسبرين,علاج التهاب الحلق بسرعة- تجنب العدوى,الأطفال- المراهقون
التهاب الحوض,عدوى تصيب الأعضاء التناسلية الأنثوية,حاد- مزمن,ألم بطني- إفرازات غير طبيعية- حمى,عدوى بكتيرية منقولة جنسيًا,المضادات الحيوية- مسكنات الألم,دوكسيسيكلين- ميترونيدازول,استخدام الواقي الذكري- الفحص المنتظم,النساء الناشطات جنسيًا
متلازمة كوشينغ,اضطراب هرموني ناتج عن زيادة الكورتيزول,وراثية- مكتسبة,زيادة الوزن- ترقق الجلد- وجه دائري,أورام الغدة الكظرية- تناول الكورتيزون لفترة طويلة,تقليل الكورتيزون- الجراحة في بعض الحالات,كيتوكونازول- ميتيرابون,تقليل تناول الكورتيزون بدون إشراف طبي,مرضى الاضطرابات الهرمونية
التهاب الملتحمة التحسسي,التهاب العين بسبب رد فعل تحسسي,موسمي- دائم,احمرار العين- حكة- إفرازات دمعية,التعرض لحبوب اللقاح- الغبار- وبر الحيوانات,قطرات مضادة للحساسية- مضادات الهيستامين,أولوباتادين- ليفوستين,تجنب مسببات الحساسية- استخدام النظارات الواقية,مرضى الحساسية
التهاب الجيوب الأنفية الفطري,التهاب ناتج عن عدوى فطرية تصيب الجيوب الأنفية,حاد- مزمن,احتقان- صداع- إفرازات أنفية كثيفة,ضعف المناعة- التعرض للرطوبة العالية,مضادات الفطريات- غسول الأنف الملحي,أمفوتيريسين ب- فلوكونازول,تجنب الأماكن الرطبة- تقوية المناعة,مرضى السكري- ضعيفو المناعة
التهاب لسان المزمار,التهاب خطير يصيب لسان المزمار مما يعيق التنفس,بكتيري- فيروسي,صعوبة في التنفس- حمى- صوت خشن,عدوى بكتيرية بالمستدمية النزلية,المضادات الحيوية- الأكسجين- أدوية الكورتيزون,سيفترياكسون- ديكساميثازون,التطعيم ضد المستدمية- تجنب العدوى,الأطفال- مرضى ضعف المناعة
مرض باركنسون,اضطراب عصبي تدريجي يؤثر على الحركة,مبكر- متقدم,رعشة في اليدين- تصلب العضلات- بطء الحركة,نقص الدوبامين في الدماغ,أدوية تحفّز إنتاج الدوبامين- العلاج الطبيعي,ليفودوبا- براميبيكسول,ممارسة الرياضة- تناول أطعمة غنية بمضادات الأكسدة,كبار السن- الأشخاص الذين لديهم تاريخ وراثي
